中文名称,同义名称,英文名称,表达符号,数据类型,类词,长度,值域,计量单位,定义,参考来源,参考来源MJ,描述对象,所属分类
固定资产购置合同编号,,,,字符串型,代码,0..80,AB123458796,无,购置固定资产的合同的编号,GB_T31360-2015 固定资产核心元数据,公开,固定资产，购置信息,资产管理元数据
固定资产购置会计凭证号,,,,数值型,代码,0..40,自由文本,无,固定资产购买单据对应的记账凭证编号,GB_T31360-2015 固定资产核心元数据,公开,固定资产，购置信息,资产管理元数据
固定资产计量单位,,,,字符串型,名称,0..20,建议采用GB/T17295-2008中规定的名称,计量单位,计量固定资产的标准量的名称，如台、件等,GB_T31360-2015 固定资产核心元数据,公开,固定资产，价值信息,资产管理元数据
固定资产使用人,,,,字符串型,名称,0..40,自由文本,无,对固定资产进行相关操作(如使用和管理)人员的姓名,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产所属单位名称,,,,字符串型,名称,0..40,自由文本,无,单位的中文名称,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产所属部门名称,,,,字符串型,名称,0..40,财政部,无,固定资产归属部门的名称,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产存放地,,,,字符串型,名称,0..40,自由文本,无,固定资产的实际存放地点,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产所属组织机构代码,,,,数值型,代码,0..40,自由文本,无,单位的组织机构代码,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产所属单位地址,,,,字符串型,名称,0..80,花园街道,无,单位的中文详细地址,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产所属单位,,,,字符串型,代码,0..40,自由文本,无,单位的邮政编码,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产使用人联系电话,,,,字符串型,代码,0..80,0136-259873,无,对固定资产进行相关操作(如使用和管理）的人员的联系电话,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
固定资产使用人电子邮箱,,,,字符串型,代码,0..10,自由文本,无,固定资产使用人的电子邮箱,GB_T31360-2015 固定资产核心元数据,公开,固定资产，归属信息,资产管理元数据
科技平台服务最近发布日期,,,,日期时间型,日期,8,2022年12月23日,无,最近一次发布科技平台服务信息的日期,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务内容,,,,字符串型,文本,0..255,自由文本,无,对科技平台服务内容的综合性介绍包括服务的来源、特征、指标、用途、方式等,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务访问限制,,,,字符串型,文本,0..255,自由文本,无,为保护隐私权或知识产权，对访问科技平台服务信息施加的限制或约束,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务资源标识,,,,字符串型,代码,0..20,自由文本,无,标识科技平台服务对应资源的代码表示,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务资源名称,,,,字符串型,名称,0..20,科技平台,无,标识科技平台服务对应资源的中文名称全称,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务服务方信息,,,,字符串型,文本,0..255,自由文本,条数,描述提供科技平台服务的单位或机构的一组信息,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台,通用元数据
科技平台服务提供方机构,,,,字符串型,名称,0..20,自由文本,无,标识科技平台服务提供方的组织机构的中文名称全称,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技平台服务提供方通信地址,,,,字符串型,文本,0..255,精密路1号,无,与科技平台服务提供方联系的通信地址,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技平台服务提供方邮政编码,,,,数值型,代码,0..20,自由文本,无,与科技平台服务提供方通信地址相对应的邮政编码,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技平台服务提供方联系电话,,,,数值型,代码,0..255,自由文本,无,科技平台服务提供方联系人的联系电话,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技平台服务提供方电子信箱,,,,字符串型,文本,0..10,自由文本,无,科技平台服务提供方联系人的电子邮件地址,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技平台服务提供方,,,,字符串型,文本,0..255,自由文本,无,科技平台服务提供方提供服务的互联网链接地址,GB_T31073-2014 科技平台服务核心元数据,公开,科技平台，服务提供方信息,通用元数据
科技资源标识符,,,,字符串型,标识符,0..20,A0416,无,科技资源的唯一标识编码。科技资源是用于科技活动的人力、物力、财力以及组织、管理、信息等要素的总称。,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源,通用元数据
科技资源_,,,,字符串型,名称,0..20,自由文本,无,科技资源的名称。,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源,通用元数据
科技资源最近提交日期,,,,日期时间型,日期,21,YYYY-MM-DD,无,最近一次提交核心元数据的日,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源,通用元数据
科技资源描述,,,,字符串型,文本,0..255,科技资源是科技发展不可或缺的一部分。,无,科技资源内容的综述性介绍包括科技资源的来源、特征、指标、用途等,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源,通用元数据
科技资源提交机构,,,,字符串,名称,0..20,自由文本,无,提交资源核心元数据的单位或机构,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源,通用元数据
科技资源提交机构,,,,字符串型,名称,0..20,自由文本,无,提交机构的组织机构名称,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源，提交机构,通用元数据
科技资源提交机构通信,,,,字符串型,名称,0..255,自由文本,无,与提交机构联系的通信地址,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源，提交机构,通用元数据
科技资源提交机构邮政编码,,,,数值型,代码,0..12,自由文本,无,与提交机构通信地址相对应的邮政编码,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源，提交机构,通用元数据
科技资源提交机构联系电话,,,,字符串型,代码,0..10,自由文本,无,提交机构联系人的联系电话,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源，提交机构,通用元数据
科技资源提交机构,,,,字符串型,代码,0..255,自由文本,无,提交机构联系人的电子邮件地址,GB_T30523-2014 科技平台资源核心元数据,公开,科技资源，提交机构,通用元数据
信息资源关键字,,,,字符串型,文本,0..40,自由文本,字数,描述信息资源主题的词语,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用元数据
信息资源责任者,,,,字符串型,名称,0..40,白磊,无,负责信息资源的创建、保存、管理、发布或提供服务的单位,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源分类,,,,字符串型,文本,0..40,按照信息内容进行分类,无,信息资源的分类信息,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源类目,,,,字符串型,名称,0..20,自由文本,无,信息资源分类中某个具体类目,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
类目编码,,,,数值型,代码,0..20,自由文本,无,类目名称对应的编码,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源分类标准名称,,,,字符串型,名称,0..20,自由文本,无,信息资源分类标准的名称,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源分类标准版本号,,,,数值型,代码,0..40,自由文本,无,信息资源分类标准的版本号,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源访问限制,,,,字符串型,文本,2,公开级为1，限制级为2,无,对访问信息资源施加的限制或约束,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源相关,,,,字符串型,日期,8,YYYY-MM-DD,无,信息资源的相关日期,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源最新修改日期,,,,日期时间型,日期,8,YYYY-MM-DD,年月日,最近一次修改信息资源的日期,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源发布,,,,日期时间型,日期,8,YYYY-MM-DD,无,发布信息资源的日期,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
信息资源摘要,,,,字符串型,文本,0..53,自由文本,无,对信息资源内容进行概要说明的文字,GB_T26816-2011 信息资源核心元数据,公开,信息资源,通用质量特性要求元数据
管理项,,,,字符串型,文本,0..255,自由文本,项数,通过管理记录记录其管理信息的注册项,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
管理记录文件,,,,字符串型,文本,0..256,自由文本,无,有关一个管理项的一个信息的总和,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
管理项标识符,,,,字符串型,标识符,0..20,A060606,无,赋予一个管理项的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
项注册机构标识符,,,,字符串型,标识符,0..10,自由文本,无,对项进行注册的注册机构的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
数据标识,,,,字符串型,标识符,0..20,自由文本,无,一个注册机构内一个管理项的唯一标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
管理项版本,,,,数值型,文本,0..20,自由文本,无,管理项唯一的版本标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
注册状态,,,,字符串型,文本,0..15,已注册、注册中,无,一个管理项在注册生命周期中状态的一个指标,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
生成日期,,,,日期型,日期,8,YYYY-MM-DD,无,管理项生成的日期,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
最新更改日期,,,,日期时间型,日期,21,YYYY-MM-DD,无,管理项最近修改的日期,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
终止日期,,,,日期时间型,日期,8,YYYY-MM-DD,年月日,一个管理项在注册系统中不再有效的日期,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
更改描述号,,,,字符串型,文本,0..255,自由文本,无,对管理项自前一个版本以来所发生的变化的描述,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
管理项起源,,,,字符串型,文本,0..255,自由文本,无,〈管理项〉管理项的来源(文件、项目、学科或模型）,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
注册机构号,,,,字符串型,名称,0..40,自由文本,无,负责维护一个注册薄的组织,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
国际代码分配符,,,,字符串型,代码,0..40,自由文本,°,一个组织标识方案的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织标识,,,,字符串型,标识符,0..80,自由文本,无,在一个组织标识方案中赋予一个组织，且在该方案中具有唯一性的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织内部机构标识符,,,,字符串型,标识符,0..80,A0005,无,分配给一个特定组织内部机构的一个标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织OPI,,,,字符串型,文本,0..255,自由文本,无,组织内部机构标识符的来源,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
机构组织,,,,字符串型,名称,0..20,自由文本,无,为了某种目的，一个或多个人运作或指定其运作的一个特定机构架构,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织名称,,,,字符串型,名称,0..40,办公处,无,组织的一个名称,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织通信,,,,字符串型,名称,0..40,自由文本,无,组织的自然、邮政或递送地址,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
文档语言标识符,,,,字符串型,标识符,0..10,自由文本,无,注册机构用于文档记录的语言的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
语言标识,,,,字符串型,标识符,0..80,自由文本,无,一个术语条目中表明某种语言的名称的信息,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
国家标识符,,,,字符串型,标识符,0..20,A00002,无,语言标识可进一步规定与语言相关联的地理政治区域的国家的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
(管理项的)指称,,,,字符串型,名称,0..10,自由文本,无,一个管理项在一个语境中的指称,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
定义文本数,,,,字符串型,文本,0..40,自由文本,无,定义的文本,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
组织通信,,,,字符串型,名称,0..40,自由文本,无,组织的自然、邮政或递送地址,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
引用文档语言标识符,,,,数值型,标识符,0..80,自由文本,无,引用文档语言标识符引用文档所使用的自然或专用语言的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
语言标识符,,,,字符串型,标识符,0..20,自然语言,无,一个术语条目中表明某种语言的名称的信息,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
国家标识,,,,字符串型,标识符,0..20,自由文本,无,语言标识可进一步指明与语言相关联的地理政治区域的国家的标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
引用文档标题,,,,字符串型,名称,0..40,数据元开发要求,无,引用文档的标题,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
引用文档,,,,二进制型,文件,23,自由文本,无,一份文档，它为查阅主题提供相关细节,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
引用文档标识,,,,字符串型,标识符,0..20,自由文本,无,i引用文档的一个标识符,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
引用组织,,,,字符串型,名称,0..40,自由文本,部,一份引用文档与一个组织之间的关系,GB_T18391.6-2009 信息技术元数据注册系统(MDR)第6部分:注册,公开,注册,通用质量特性要求元数据
被分类组分标识,,,,字符串型,标识符,0..20,自由文本,无,在语言上中性的、唯一的且明确无误的标识符，用于标识和引用某个已分类组分,GB_T18391.2-2003 信息技术数据元的规范与标准化第2部分:数据元的分类,公开,分类属性,通用质量特性要求元数据
任职机构所在行政区划名称,,,,字符串型,名称,1..50,自由文本,无,任职机构所在的县级及县级以上行政区划名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
任职机构所在行政区划代码,,,,字符串型,代码,6,A00003,无,任职机构所在的县级及县级以上行政区划名称代码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
是否为退役军人,,,,字符串型,文本,2,{是；否},无,是否为退役的军人,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
退役时间,,,,日期时间型,日期,21,YYYY-MM-DD,无,军人退出现役的年月,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
退役前所在单位,,,,字符串型,名称,0..120,自由文本,无,军人退役前所在军队部门或单位的名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
是否预备役人员,,,,布尔型,文本,0..15,{是；否},无,是否为预备役人员,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
操控设备种类,,,,字符串型,名称,0..120,自由文本,种,人员操作控制的运输设备和通用工程机械设备种类的名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
特殊环境下工作经历,,,,字符串型,文本,0..5,自由文本,无,人员在高原、海岛、沙漠等特殊环境下工作和作业经历,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
设备维修或设备抢修、抢建对象,,,,字符串型,文本,0..120,自由文本,人,人员维修过的设备或抢修、抢建过的设施类型或名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
设备维修或设备抢修、抢建特长,,,,字符串型,文本,0..20,自由文本,无,人员维修过的设备或抢修、抢建方面所具有的相关特长,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
设备维修或设备抢修、抢建经历,,,,字符串型,文本,0..500,无经历,无,人员维修过的设备或抢修、抢建方面的相关经历,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
有临床工作经验,,,,布尔型,文本,2,{是；否},无,是否有医学临床工作经验,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
卫生专业技术人员所在医院等级名称,,,,字符串型,名称,0..10,(TAB1|R00013},无,卫生专业技术人员所在医院的等级名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
卫生专业技术人员所在医院等级代码,,,,字符串型,代码,2,A00004,无,卫生专业技术人员所在医院的等级代码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
卫生专业技术人员继续教育,,,,字符串型,文本,0..120,自由文本,无,卫生专业技术人员继续教育情况的说明,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
是否有灾害医疗救援经历,,,,布尔型,文本,2,自由文本,无,人员是否有灾害医疗救援的经历,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
其他领域人员现从事岗位名称,,,,字符串型,名称,0..10,自由文本,无,除运输设备和通用工程机械操作人员、设备维修及设备抢修抢建人员、卫生专业技术人员以外，其他专业技能领域人员现在从事的岗位名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
其他领域人员,,,,字符串型,文本,0..200,自由文本,无,除运输设备和通用工程机械操作人员、设备维修及设备抢修抢建人员、卫生专业技术人员以外，其他专业技能领域人员所具有的技术特长,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
其他领域人员专业技术经历,,,,字符串型,文本,0..10,自由文本,无,除运输设备和通用工程机械操作人员、设备维修及设备抢修抢建人员、卫生专业技术人员以外，其他专业技能领域人员专业技术经历,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
设施中文,,,,字符串型,名称,0..100,自由文本,无,设施的中文全称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
军民通用资源,,,,字符串型,代码,10,{TAB1|E01001},无,军民通用资源分类类型的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
军民通用资源分类名称,,,,数值型,名称,0..60,{TAB1|E01001},无,军民通用资源的分类名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
军民通用资源基准名称,,,,字符串型,名称,2,{TAB1|E01002},无,军民通用资源的基准名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
军民通用资源进准代码,,,,数值型,代码,8,{TAB1|E01002},无,标识该设施基准名称的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
基本介绍,,,,字符串型,文本,0..500,自由文本,无,设施的基本情况介绍,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施建设状态,,,,二进制型,文本,0..50,自由文本,无,设施的建设状态，包括：在建，已完成,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施建成日期,,,,日期时间型,日期,21,YYYY-MM-DD,无,设施建设完工的年月,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施使用状态,,,,字符串型,文本,4,自由文本,无,设施的使用状态，包括：闲置、在用、堪用、完好、报废等,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施几何中心经纬度坐标,,,,数值型,坐标,12.3,自由文本,无,设施几何中心点的经度和纬度坐标，维度在前，经度在后,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
所在地名称,,,,字符串型,名称,0..50,自由文本,无,设施所在地的行政区划名称，至少到县一级,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施所有者名称,,,,字符串型,名称,0..100,自由文本,米,设施所有权拥有人祸机构的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施使用者名称,,,,二进制型,名称,0..100,自由文本,无,设施使用权拥有人或机构的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施管理者名称,,,,字符串型,名称,2,自由文本,无,管理设施的人祸机构的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
设施所有者、设施使用着、设施管理着,,,,字符串型,代码,0..50,自由文本,无,设施所有者、设施使用着、设施管理着的联系方式,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
其他需要说明事项,,,,字符串型,文本,2,自由文本,无,其他需要说明的事项,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土地使用面积,,,,数值型,面积,12.3,自由文本,平方米,土地可供使用的面积,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
平均海拔高度,,,,数值型,线度,12.3,"(0,999999999.999)",℃,土地所在地的平均海拔高度,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土地所属气候带和所属气候大区名称,,,,二进制型,名称,0..50,{TAB1|E01003},无,土地所在地的气候带和气候大区名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土地所属气候带和所属气候大区代码,,,,字符串型,代码,2,{TAB1|E01003},米,土地所在地的气候带和气候大区名称代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土壤类别名称,,,,字符串型,名称,2,{TAB1|E01004},无,根据地域环境和土壤性质对土壤进行分类的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土壤类别代码,,,,二进制型,代码,2,{TAB1|E01004},无,土壤类别对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
名称,,,,字符串型,名称,0..50,{TAB1|E01005},无,土地鞭面呈现的形态的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
土地类型代码,,,,字符串型,代码,2,{TAB1|E01005},米,地形类型对应的代码,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
水域所属气候带和所属气候大区名称,,,,字符串型,名称,0..50,-,无,水域所在地的气候带和气候大区的名称,GB_T39316.6-2020 军民通用资源元数据第6部分：设施类,公开,设施类,资产管理元数据
